measurement,deviceId,year,month,file_exists
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,2,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,3,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,4,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,5,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,6,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,7,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,8,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,9,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,10,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,11,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,12,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,1,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,2,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,3,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,4,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,5,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,6,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,7,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,8,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,9,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,10,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,11,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,12,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,1,False
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,2,False
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,3,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,4,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,5,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,6,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,7,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,8,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,9,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,10,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,11,False
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,12,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,1,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,2,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,3,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,4,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,5,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,6,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,7,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,8,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,9,True
eOutBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,10,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,2,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,3,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,4,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,5,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,6,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,7,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,8,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,9,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,10,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,11,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,12,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,1,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,2,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,3,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,4,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,5,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,6,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,7,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,8,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,9,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,10,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,11,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,12,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,1,False
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,2,False
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,3,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,4,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,5,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,6,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,7,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,8,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,9,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,10,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,11,False
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,12,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,1,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,2,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,3,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,4,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,5,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,6,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,7,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,8,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,9,True
iBat,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,10,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2021,11,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2021,12,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,1,False
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,2,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,3,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,4,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,5,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,6,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,7,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,8,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,9,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,10,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,11,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,12,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,1,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,2,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,3,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,4,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,5,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,6,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,7,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,8,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,9,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,10,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,11,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,12,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,1,False
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,2,False
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,3,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,4,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,5,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,6,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,7,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,8,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,9,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,10,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,11,False
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,12,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,1,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,2,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,3,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,4,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,5,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,6,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,7,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,8,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,9,True
nCycles,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,10,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,2,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,3,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,4,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,5,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,6,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,7,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,8,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,9,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,10,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,11,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2022,12,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,1,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,2,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,3,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,4,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,5,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,6,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,7,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,8,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,9,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,10,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,11,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2023,12,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,1,False
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,2,False
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,3,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,4,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,5,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,6,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,7,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,8,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,9,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,10,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,11,False
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2024,12,True
sOc,https://react2020.eu/device/VIC-GXHQ20503L3SA-1,2025,1,True
